OId,boxId,weight,len,dia
1,2,11,3.15,2.6
2,2,8,3.26,2.2
3,2,13,3.68,2.4
4,2,11,3.28,2.61
5,2,7,2.66,2.3
6,2,8,3.08,2.33
7,2,7,2.67,2.38
8,2,7,2.38,2.54
9,2,9,3.13,2.35
10,2,11,3.09,2.51
11,2,7,2.72,2.25
12,2,5,2.41,2
13,2,8,3.09,2.38
14,2,8,2.85,2.38
15,2,7,2.74,2.16
16,2,8,2.93,2.23
17,2,9,2.91,2.41
18,2,10,3.14,2.36
19,2,8,2.93,2.26
20,2,8,2.75,2.32
21,2,10,3.39,2.4
22,2,10,3.13,2.42
23,2,4,2.29,1.93
24,2,7,2.58,2.17
25,2,6,2.63,2.11
26,2,11,3.33,2.47
27,2,9,3.11,2.52
28,2,9,3.12,2.46
29,2,5,2.86,2.26
30,2,6,2.6,2.23
31,2,7,2.95,2.35
32,2,8,3,2.39
33,2,7,2.5,2.35
34,2,9,3.18,2.24
35,2,6,2.48,2.1
36,2,9,3.06,2.34
37,2,8,2.98,2.24
38,2,11,3.2,2.47
39,2,10,2.91,2.47
40,2,8,3.1,2.33
41,2,7,2.89,2.07
42,2,9,3.24,2.36
43,2,9,3.08,2.31
44,2,10,3.23,2.55
45,2,9,2.99,2.38
46,2,9,2.88,2.51
47,2,9,2.91,2.27
48,2,13,3.55,2.6
49,2,6,2.88,2.07
50,2,8,3.13,2.25
51,2,7,2.69,2.35
52,2,7,2.64,2.23
53,2,7,2.65,2.19
54,2,8,3,2.29
55,2,6,2.51,2.14
56,2,6,2.69,2.11
57,2,9,2.82,2.36
58,2,7,2.79,2.25
59,3,10.89,3.19,2.56
60,3,9.03,2.85,2.23
61,3,8.16,3.05,2.39
62,3,10.25,3.06,2.44
63,3,8.66,3.02,2.33
64,3,9.29,2.99,2.4
65,3,6.92,2.62,2.19
66,3,8.87,3.03,2.26
67,3,10,3.28,2.38
68,3,7.82,2.87,2.29
69,3,8.24,3.03,2.26
70,3,8.77,2.87,2.35
71,3,6.95,2.55,2.14
72,3,8.19,3.2,2.2
73,3,12,3.63,2.35
74,3,8.97,3.19,2.31
75,3,6.67,2.59,2.19
76,3,10.72,3.31,2.44
77,3,6.88,2.52,2.23
78,3,6.49,2.71,2.14
79,3,6.8,2.36,2.05
80,3,6.23,2.55,2.09
81,3,9.08,3.11,2.32
82,3,7.39,2.84,2.19
83,3,8.86,3.02,2.4
84,3,10.29,3.14,2.42
85,3,7.24,2.62,2.24
86,3,7.2,2.69,2.2
87,3,4.96,2.3,1.98
88,3,10.24,3.07,2.48
89,3,8.36,2.85,2.38
90,3,7.65,2.89,2.31
91,3,7.22,2.49,2.4
92,3,7.31,2.59,2.28
93,3,6.88,2.62,2.18
94,3,7.34,2.89,2.25
95,3,7.88,2.82,2.2
96,3,8.78,2.93,2.4
97,3,8.13,2.7,2.26
98,3,7.41,2.9,2.2
99,3,9.06,3.06,2.31
100,3,10.48,3.29,2.46
101,3,7.76,2.79,2.31
102,3,8.38,3.18,2.21
103,3,8.21,3.09,2.14
104,3,8.19,2.85,2.24
105,3,7.85,2.62,2.3
106,3,4.46,2.32,1.92
107,3,7.91,2.98,2.24
108,3,6.43,2.64,2.1
109,3,6.21,2.53,1.94
110,3,10.08,3.15,2.54
111,3,9.36,2.83,2.47
112,3,6.18,2.78,2.04
113,3,12.84,3.5,2.62
114,3,8.66,2.96,2.34
115,3,9.53,2.89,2.47
116,3,8.88,3.16,2.37
117,3,5.93,2.45,2.09
118,4,12.83,3.4,2.55
119,4,12.38,3.55,2.58
120,4,9.96,3.13,2.39
121,4,10.44,3.38,2.25
122,4,11.45,3.21,2.5
123,4,12.73,3.62,2.53
124,4,10.71,3.17,2.24
125,4,9.42,3.32,2.31
126,4,8.97,2.89,2.45
127,4,10.09,3.32,2.25
128,4,11.84,3.04,2.66
129,4,10.69,3.32,2.42
130,4,11.23,3.49,2.55
131,4,9.03,2.63,2.57
132,4,9.03,3.02,2.23
133,4,7.97,2.81,2.2
134,4,7.65,2.64,2.23
135,4,10.95,3.24,2.51
136,4,10.09,3.29,2.42
137,4,10.94,3.42,2.37
138,4,6.55,2.72,2.15
139,4,12.1,3.16,2.57
140,4,10.49,3.11,2.51
141,4,15,3.49,2.84
142,4,9.33,3.08,2.46
143,4,9.16,2.95,2.44
144,4,11.78,3.44,2.45
145,4,9.23,3.08,2.41
146,4,7.37,2.8,2.25
147,4,10.56,3.14,2.49
148,4,7.85,3.08,2.08
149,4,9.64,3.23,2.16
150,4,7.37,2.69,2.21
151,4,8.86,2.88,2.24
152,4,8.76,3.03,2.35
153,4,14.95,3.76,2.55
154,4,8.67,2.86,2.36
155,4,12.19,3.11,2.74
156,4,7.05,2.79,2.24
157,4,7.96,3,2.09
158,4,9.46,2.99,2.49
159,4,9.18,2.89,2.38
160,4,10.23,3.17,2.42
161,4,6.68,2.68,2.23
162,4,8.37,2.74,2.39
163,4,8.84,2.88,2.47
164,4,6.28,2.67,2.06
165,4,5.87,2.46,2.1
166,4,9.39,3.16,2.29
167,4,6.06,2.51,2.14
168,4,8.54,2.85,2.19
169,4,5.8,2.65,2.06
